Designator,Mid X,Mid Y,Layer,Rotation
C1,16.51,43.18,Top,90.0
C2,19.05,43.18,Top,90.0
C3,31.75,43.18,Top,90.0
C4,34.29,43.18,Top,90.0
C5,16.51,30.48,Top,90.0
C6,19.05,30.48,Top,90.0
C7,31.75,30.48,Top,90.0
C8,34.29,30.48,Top,90.0
C9,16.51,17.78,Top,90.0
C10,19.05,17.78,Top,90.0
C11,31.75,17.78,Top,90.0
C12,34.29,17.78,Top,90.0
C13,16.51, 5.08,Top,90.0
C14,19.05, 5.08,Top,90.0
C15,31.75, 5.08,Top,90.0
C16,34.29, 5.08,Top,90.0
GND, 3.81,26.67,Top,90.0
GND@1,52.71,45.09,Top,90.0
GND@2,52.71,34.93,Top,90.0
GND@3,52.71,24.77,Top,90.0
GND@4,52.71,14.61,Top,90.0
LED1,35.56,50.16,Top,90.0
LED2,35.56,37.47,Top,90.0
LED3,35.56,24.77,Top,90.0
LED4,35.56,11.43,Top,90.0
R1,37.47,43.18,Top,270.0
R2,37.47,30.48,Top,270.0
R3,37.47,17.78,Top,270.0
R4,37.47, 5.08,Top,270.0
U1,25.40,45.72,Top,0.0
U2,25.40,33.02,Top,0.0
U3,25.40,20.32,Top,0.0
U4,25.40, 7.62,Top,0.0
V1,52.71,40.01,Top,90.0
V2,52.71,29.85,Top,90.0
V3,52.71,19.69,Top,90.0
V4,52.71, 9.53,Top,90.0
VCC, 3.81,34.29,Top,90.0
