Designator,Mid X,Mid Y,Layer,Rotation
C1,59.69,20.32,Top,180.0
C2,58.42,54.61,Top,180.0
C3, 3.81, 9.53,Top,180.0
C4, 3.81,26.67,Top,180.0
C5,10.16,11.43,Top,180.0
C6,21.59,11.43,Top,180.0
C7,33.02,11.43,Top,180.0
C8,44.45,11.43,Top,180.0
C9,49.53,49.53,Top,0.0
C10,38.10,49.53,Top,0.0
C11,26.67,49.53,Top,0.0
C12,15.24,49.53,Top,0.0
C13,17.78,29.21,Top,270.0
C14,20.32,29.21,Top,270.0
C15, 3.81,31.75,Top,180.0
C16, 3.81,35.56,Top,180.0
IC1,59.69,12.70,Top,270.0
IC2,59.69,48.26,Top,270.0
IC3,27.94,30.48,Top,0.0
IC4,44.45,30.48,Top,270.0
JP1,52.07,22.23,Top,0.0
R3,10.16, 8.26,Top,180.0
R4,21.59, 8.26,Top,180.0
R5,33.02, 8.26,Top,180.0
R6,44.45, 8.26,Top,180.0
R7,49.53,52.71,Top,0.0
R8,38.10,52.71,Top,0.0
R9,26.67,52.71,Top,0.0
R10,15.24,52.71,Top,0.0
R11,12.70,16.51,Top,90.0
R12, 8.89,16.51,Top,90.0
R13,16.51,16.51,Top,90.0
R14,20.32,16.51,Top,90.0
R15,24.13,16.51,Top,90.0
R16,27.94,16.51,Top,90.0
R17,31.75,16.51,Top,90.0
R18,35.56,16.51,Top,90.0
R19,39.37,16.51,Top,90.0
R20,43.18,16.51,Top,90.0
R21,46.99,16.51,Top,90.0
R22,50.80,16.51,Top,90.0
R23, 8.89,44.45,Top,90.0
R24,12.70,44.45,Top,90.0
R25,16.51,44.45,Top,90.0
R26,20.32,44.45,Top,90.0
R27,24.13,44.45,Top,90.0
R28,27.94,44.45,Top,90.0
R29,31.75,44.45,Top,90.0
R30,35.56,44.45,Top,90.0
R31,39.37,44.45,Top,90.0
R32,43.18,44.45,Top,90.0
R33,46.99,44.45,Top,90.0
R34,50.80,44.45,Top,90.0
R35,17.78,34.29,Top,180.0
