Designator,Mid X,Mid Y,Layer,Rotation
BLANK,36.20,103.51,Top,0.0
C1,58.42,22.86,Top,90.0
C2,58.42,15.24,Top,270.0
C3,41.91,20.32,Top,270.0
C4,45.72,20.32,Top,270.0
C5,63.50,58.42,Top,0.0
C6,63.50,55.88,Top,0.0
C7,38.10,52.07,Top,180.0
C8,38.10,55.25,Top,180.0
C9,21.59,83.82,Top,270.0
C10,21.59,66.04,Top,270.0
C11,21.59,48.26,Top,270.0
C12,35.56, 8.89,Top,270.0
C13,31.75, 8.89,Top,270.0
C14,41.91,96.52,Top,90.0
C15,24.13,96.52,Top,90.0
CLKIN,38.10,49.53,Top,90.0
DAT,53.98,103.51,Top,0.0
GND,73.03, 9.53,Top,90.0
GND@1,19.05,103.51,Top,0.0
GND@2,73.03, 5.08,Top,90.0
HTBT,33.66,57.15,Top,180.0
IC1,26.67,25.40,Top,90.0
IN1, 3.81,77.47,Top,90.0
IN2, 3.81,72.39,Top,90.0
IN3, 3.81,59.69,Top,90.0
IN4, 3.81,54.61,Top,90.0
IN5, 3.81,41.91,Top,90.0
IN6, 3.81,36.83,Top,90.0
L1,66.04,16.51,Top,180.0
LAT,32.38,103.51,Top,0.0
LC0,72.39,72.39,Top,90.0
LC1,72.39,77.47,Top,90.0
LC2,72.39,59.69,Top,90.0
LC3,73.03,51.44,Top,90.0
LC4,73.03,46.36,Top,90.0
LC5,73.03,41.27,Top,90.0
LED1,39.37,25.40,Top,90.0
LED2,38.10,13.97,Top,90.0
LED3,33.02,34.93,Top,180.0
LED4,34.93,29.85,Top,90.0
Q5,72.39,65.41,Top,0.0
Q6,67.31,68.58,Top,0.0
Q7,70.48,55.25,Top,0.0
Q8,67.95,50.80,Top,0.0
Q9,67.95,46.36,Top,0.0
Q10,67.95,41.91,Top,0.0
R1,66.04,24.13,Top,180.0
R2,45.72,25.40,Top,0.0
R3,43.18,81.92,Top,0.0
R4,17.78,30.48,Top,180.0
R5,17.78,26.67,Top,180.0
R6,19.05,21.59,Top,90.0
R7,38.73,60.33,Top,0.0
R8,17.78,83.82,Top,90.0
R9,27.94,78.11,Top,90.0
R10, 9.53,81.92,Top,180.0
R11,27.94,71.76,Top,270.0
R12, 9.53,67.95,Top,180.0
R13,17.78,66.04,Top,90.0
R14,26.04,60.33,Top,90.0
R15, 9.53,64.14,Top,180.0
R16,26.04,53.98,Top,270.0
R17, 9.53,50.16,Top,180.0
R18,17.78,48.26,Top,90.0
R19,27.30,42.55,Top,90.0
R20, 9.53,46.36,Top,180.0
R21,27.30,36.20,Top,270.0
R22, 9.53,32.38,Top,180.0
R23,45.09,96.52,Top,270.0
R24,44.45,102.87,Top,270.0
R25,68.58,83.82,Top,270.0
R26,27.30,96.52,Top,270.0
R27,44.45,12.70,Top,0.0
R28,38.10,36.83,Top,0.0
R29,38.10,33.02,Top,0.0
R30,65.41,61.60,Top,180.0
R31,64.77,65.41,Top,180.0
R32,62.87,52.71,Top,0.0
R33,62.87,48.90,Top,0.0
R34,62.87,45.09,Top,0.0
R35,62.87,41.27,Top,0.0
R36,59.69,99.06,Top,270.0
R37,72.39,83.82,Top,270.0
R38,25.40,102.87,Top,180.0
R39,60.96,83.82,Top,270.0
R40,40.64,102.87,Top,270.0
R41,64.77,83.82,Top,270.0
RST,35.56,80.01,Top,180.0
SCLK,50.16,103.51,Top,0.0
TP1,38.73,19.05,Top,0.0
TP2,36.20,19.05,Top,0.0
TP3,44.45,15.24,Top,90.0
U1,52.07,17.78,Top,180.0
U2,44.45, 5.08,Top,90.0
VCC,73.03,26.04,Top,90.0
X3,73.03,31.12,Top,90.0
X4,73.03,36.20,Top,90.0
